Komentar,cleaning,Case_Folding,Tokennisasi,Normalisasi,Stopwords,Steaming,text_clean
"Anda. Kualatt dengan tetangga kamu niss,,, nama nya bu etika 🧑🏼‍🦰",Anda Kualatt dengan tetangga kamu niss nama nya bu etika,anda kualatt dengan tetangga kamu niss nama nya bu etika,"['anda', 'kualatt', 'dengan', 'tetangga', 'kamu', 'niss', 'nama', 'nya', 'bu', 'etika']","['anda', 'kualatt', 'dengan', 'tetangga', 'kamu', 'niss', 'nama', 'nya', 'bu', 'etika']","['kualatt', 'tetangga', 'niss', 'nama', 'nya', 'bu', 'etika']","['kualatt', 'tetangga', 'niss', 'nama', 'nya', 'bu', 'etika']",kualatt tetangga niss nama nya bu etika
Gak laku mann,Gak laku mann,gak laku mann,"['gak', 'laku', 'mann']","['enggak', 'laku', 'mann']","['laku', 'mann']","['laku', 'mann']",laku mann
"Sudah berpa bnyka janji palsumu abud, kita lihat bertahan brp lama janji manismu..",Sudah berpa bnyka janji palsumu abud kita lihat bertahan brp lama janji manismu,sudah berpa bnyka janji palsumu abud kita lihat bertahan brp lama janji manismu,"['sudah', 'berpa', 'bnyka', 'janji', 'palsumu', 'abud', 'kita', 'lihat', 'bertahan', 'brp', 'lama', 'janji', 'manismu']","['sudah', 'berpa', 'bnyka', 'janji', 'palsumu', 'abud', 'kita', 'lihat', 'bertahan', 'brp', 'lama', 'janji', 'manismu']","['berpa', 'bnyka', 'janji', 'palsumu', 'abud', 'lihat', 'bertahan', 'brp', 'janji', 'manismu']","['berpa', 'bnyka', 'janji', 'palsu', 'abud', 'lihat', 'tahan', 'brp', 'janji', 'manis']",berpa bnyka janji palsu abud lihat tahan brp janji manis
Liat rekam jejak nya 😂,Liat rekam jejak nya,liat rekam jejak nya,"['liat', 'rekam', 'jejak', 'nya']","['liat', 'rekam', 'jejak', 'nya']","['liat', 'rekam', 'jejak', 'nya']","['liat', 'rekam', 'jejak', 'nya']",liat rekam jejak nya
"Pingin lihat pendukungnya gimana kl pa Anis masuk kabinet,atau jadi oposisi masuk PDIP😂",Pingin lihat pendukungnya gimana kl pa Anis masuk kabinet atau jadi oposisi masuk PDIP,pingin lihat pendukungnya gimana kl pa anis masuk kabinet atau jadi oposisi masuk pdip,"['pingin', 'lihat', 'pendukungnya', 'gimana', 'kl', 'pa', 'anis', 'masuk', 'kabinet', 'atau', 'jadi', 'oposisi', 'masuk', 'pdip']","['pingin', 'lihat', 'pendukungnya', 'gimana', 'kalo', 'pa', 'anis', 'masuk', 'kabinet', 'atau', 'jadi', 'oposisi', 'masuk', 'pdip']","['pingin', 'lihat', 'pendukungnya', 'gimana', 'kalo', 'pa', 'anis', 'masuk', 'kabinet', 'oposisi', 'masuk', 'pdip']","['pingin', 'lihat', 'dukung', 'gimana', 'kalo', 'pa', 'anis', 'masuk', 'kabinet', 'oposisi', 'masuk', 'pdip']",pingin lihat dukung gimana kalo pa anis masuk kabinet oposisi masuk pdip
"Janji tinggal janji, biar pembelajaran buat seluruh masyarakat Indonesia utk berpolitik dg baik adu gagasan bukan politik ifentitas apalagi menumbuhkan / memprovokasi rakyat utk berpikir jelek ke pemerintahan yg sah",Janji tinggal janji biar pembelajaran buat seluruh masyarakat Indonesia utk berpolitik dg baik adu gagasan bukan politik ifentitas apalagi menumbuhkan memprovokasi rakyat utk berpikir jelek ke pemerintahan yg sah,janji tinggal janji biar pembelajaran buat seluruh masyarakat indonesia utk berpolitik dg baik adu gagasan bukan politik ifentitas apalagi menumbuhkan memprovokasi rakyat utk berpikir jelek ke pemerintahan yg sah,"['janji', 'tinggal', 'janji', 'biar', 'pembelajaran', 'buat', 'seluruh', 'masyarakat', 'indonesia', 'utk', 'berpolitik', 'dg', 'baik', 'adu', 'gagasan', 'bukan', 'politik', 'ifentitas', 'apalagi', 'menumbuhkan', 'memprovokasi', 'rakyat', 'utk', 'berpikir', 'jelek', 'ke', 'pemerintahan', 'yg', 'sah']","['janji', 'tinggal', 'janji', 'biar', 'pembelajaran', 'buat', 'seluruh', 'masyarakat', 'indonesia', 'untuk', 'berpolitik', 'dengan', 'baik', 'adu', 'gagasan', 'bukan', 'politik', 'ifentitas', 'apalagi', 'menumbuhkan', 'memprovokasi', 'rakyat', 'untuk', 'berpikir', 'jelek', 'ke', 'pemerintahan', 'yang', 'sah']","['janji', 'tinggal', 'janji', 'biar', 'pembelajaran', 'masyarakat', 'indonesia', 'berpolitik', 'adu', 'gagasan', 'politik', 'ifentitas', 'menumbuhkan', 'memprovokasi', 'rakyat', 'berpikir', 'jelek', 'pemerintahan', 'sah']","['janji', 'tinggal', 'janji', 'biar', 'ajar', 'masyarakat', 'indonesia', 'politik', 'adu', 'gagas', 'politik', 'ifentitas', 'tumbuh', 'provokasi', 'rakyat', 'pikir', 'jelek', 'perintah', 'sah']",janji tinggal janji biar ajar masyarakat indonesia politik adu gagas politik ifentitas tumbuh provokasi rakyat pikir jelek perintah sah
Betul Pak. Bawa perubahan bisa dimana saja. Semangat perubahannya jangan padam.,Betul Pak Bawa perubahan bisa dimana saja Semangat perubahannya jangan padam,betul pak bawa perubahan bisa dimana saja semangat perubahannya jangan padam,"['betul', 'pak', 'bawa', 'perubahan', 'bisa', 'dimana', 'saja', 'semangat', 'perubahannya', 'jangan', 'padam']","['betul', 'pak', 'bawa', 'perubahan', 'bisa', 'dimana', 'saja', 'semangat', 'perubahannya', 'jangan', 'padam']","['bawa', 'perubahan', 'dimana', 'semangat', 'perubahannya', 'padam']","['bawa', 'ubah', 'mana', 'semangat', 'ubah', 'padam']",bawa ubah mana semangat ubah padam
"Semenjak hamil jadi semakin sensitif sama rasa kemanusiaan apalagi kalau liat anak-anak, bukan apa apa, kita hamil susah payah, coba kasih yang terbaik dan kasih rasa sayang sama anak bahkan sejak masih jadi kantung dalam rahim, jadi janin, jadi bayi, jadi anak sampai tumbuh jadi manusia dewasa. Kebayang ngga sih sekesel dan sebenci apa, anak yang udah kita rawat dari janin terus main asal diperlakukan seenaknya sama orang lain, sampai ditendang kayak gitu. 

Kalau saya yang jadi orangtua korban, aselii itu pelaku ngga akan pernah saya biarin hidup tenang didunia maupun diakhirat.

Naudzubillahiminzalik..",Semenjak hamil jadi semakin sensitif sama rasa kemanusiaan apalagi kalau liat anak anak bukan apa apa kita hamil susah payah coba kasih yang terbaik dan kasih rasa sayang sama anak bahkan sejak masih jadi kantung dalam rahim jadi janin jadi bayi jadi anak sampai tumbuh jadi manusia dewasa Kebayang ngga sih sekesel dan sebenci apa anak yang udah kita rawat dari janin terus main asal diperlakukan seenaknya sama orang lain sampai ditendang kayak gitu Kalau saya yang jadi orangtua korban aselii itu pelaku ngga akan pernah saya biarin hidup tenang didunia maupun diakhirat Naudzubillahiminzalik,semenjak hamil jadi semakin sensitif sama rasa kemanusiaan apalagi kalau liat anak anak bukan apa apa kita hamil susah payah coba kasih yang terbaik dan kasih rasa sayang sama anak bahkan sejak masih jadi kantung dalam rahim jadi janin jadi bayi jadi anak sampai tumbuh jadi manusia dewasa kebayang ngga sih sekesel dan sebenci apa anak yang udah kita rawat dari janin terus main asal diperlakukan seenaknya sama orang lain sampai ditendang kayak gitu kalau saya yang jadi orangtua korban aselii itu pelaku ngga akan pernah saya biarin hidup tenang didunia maupun diakhirat naudzubillahiminzalik,"['semenjak', 'hamil', 'jadi', 'semakin', 'sensitif', 'sama', 'rasa', 'kemanusiaan', 'apalagi', 'kalau', 'liat', 'anak', 'anak', 'bukan', 'apa', 'apa', 'kita', 'hamil', 'susah', 'payah', 'coba', 'kasih', 'yang', 'terbaik', 'dan', 'kasih', 'rasa', 'sayang', 'sama', 'anak', 'bahkan', 'sejak', 'masih', 'jadi', 'kantung', 'dalam', 'rahim', 'jadi', 'janin', 'jadi', 'bayi', 'jadi', 'anak', 'sampai', 'tumbuh', 'jadi', 'manusia', 'dewasa', 'kebayang', 'ngga', 'sih', 'sekesel', 'dan', 'sebenci', 'apa', 'anak', 'yang', 'udah', 'kita', 'rawat', 'dari', 'janin', 'terus', 'main', 'asal', 'diperlakukan', 'seenaknya', 'sama', 'orang', 'lain', 'sampai', 'ditendang', 'kayak', 'gitu', 'kalau', 'saya', 'yang', 'jadi', 'orangtua', 'korban', 'aselii', 'itu', 'pelaku', 'ngga', 'akan', 'pernah', 'saya', 'biarin', 'hidup', 'tenang', 'didunia', 'maupun', 'diakhirat', 'naudzubillahiminzalik']","['semenjak', 'hamil', 'jadi', 'semakin', 'sensitif', 'sama', 'rasa', 'kemanusiaan', 'apalagi', 'kalau', 'liat', 'anak', 'anak', 'bukan', 'apa', 'apa', 'kita', 'hamil', 'susah', 'payah', 'coba', 'kasih', 'yang', 'terbaik', 'dan', 'kasih', 'rasa', 'sayang', 'sama', 'anak', 'bahkan', 'sejak', 'masih', 'jadi', 'kantung', 'dalam', 'rahim', 'jadi', 'janin', 'jadi', 'bayi', 'jadi', 'anak', 'sampai', 'tumbuh', 'jadi', 'manusia', 'dewasa', 'kebayang', 'gak', 'sih', 'sekesel', 'dan', 'sebenci', 'apa', 'anak', 'yang', 'udah', 'kita', 'rawat', 'dari', 'janin', 'terus', 'main', 'asal', 'diperlakukan', 'seenaknya', 'sama', 'orang', 'lain', 'sampai', 'ditendang', 'kayak', 'gitu', 'kalau', 'saya', 'yang', 'jadi', 'orangtua', 'korban', 'aselii', 'itu', 'pelaku', 'gak', 'akan', 'pernah', 'saya', 'biarin', 'hidup', 'tenang', 'didunia', 'maupun', 'diakhirat', 'naudzubillahiminzalik']","['semenjak', 'hamil', 'sensitif', 'kemanusiaan', 'liat', 'anak', 'anak', 'hamil', 'susah', 'payah', 'coba', 'kasih', 'terbaik', 'kasih', 'sayang', 'anak', 'kantung', 'rahim', 'janin', 'bayi', 'anak', 'tumbuh', 'manusia', 'dewasa', 'kebayang', 'gak', 'sih', 'sekesel', 'sebenci', 'anak', 'udah', 'rawat', 'janin', 'main', 'diperlakukan', 'orang', 'ditendang', 'kayak', 'gitu', 'orangtua', 'korban', 'aselii', 'pelaku', 'gak', 'biarin', 'hidup', 'tenang', 'didunia', 'diakhirat', 'naudzubillahiminzalik']","['semenjak', 'hamil', 'sensitif', 'manusia', 'liat', 'anak', 'anak', 'hamil', 'susah', 'payah', 'coba', 'kasih', 'baik', 'kasih', 'sayang', 'anak', 'kantung', 'rahim', 'janin', 'bayi', 'anak', 'tumbuh', 'manusia', 'dewasa', 'bayang', 'gak', 'sih', 'sekesel', 'benci', 'anak', 'udah', 'rawat', 'janin', 'main', 'laku', 'orang', 'tendang', 'kayak', 'gitu', 'orangtua', 'korban', 'aselii', 'laku', 'gak', 'biarin', 'hidup', 'tenang', 'dunia', 'akhirat', 'naudzubillahiminzalik']",semenjak hamil sensitif manusia liat anak anak hamil susah payah coba kasih baik kasih sayang anak kantung rahim janin bayi anak tumbuh manusia dewasa bayang gak sih sekesel benci anak udah rawat janin main laku orang tendang kayak gitu orangtua korban aselii laku gak biarin hidup tenang dunia akhirat naudzubillahiminzalik
"Kalo sampe anakku diginiiin udah tak ajak geluttt itu bocil semuanya + ortunya sekalian ga bisa didik anaknya sampe ga punya moralll giniiiiiiiiii…. Sekolahnya di blacklist, bocilnya masukin penjara biar tau rasa dididik tuhh didalem suruh ngasi pelajaran yang setimpalllll",Kalo sampe anakku diginiin udah tak ajak gelutt itu bocil semuanya ortunya sekalian ga bisa didik anaknya sampe ga punya morall ginii Sekolahnya di blacklist bocilnya masukin penjara biar tau rasa dididik tuhh didalem suruh ngasi pelajaran yang setimpall,kalo sampe anakku diginiin udah tak ajak gelutt itu bocil semuanya ortunya sekalian ga bisa didik anaknya sampe ga punya morall ginii sekolahnya di blacklist bocilnya masukin penjara biar tau rasa dididik tuhh didalem suruh ngasi pelajaran yang setimpall,"['kalo', 'sampe', 'anakku', 'diginiin', 'udah', 'tak', 'ajak', 'gelutt', 'itu', 'bocil', 'semuanya', 'ortunya', 'sekalian', 'ga', 'bisa', 'didik', 'anaknya', 'sampe', 'ga', 'punya', 'morall', 'ginii', 'sekolahnya', 'di', 'blacklist', 'bocilnya', 'masukin', 'penjara', 'biar', 'tau', 'rasa', 'dididik', 'tuhh', 'didalem', 'suruh', 'ngasi', 'pelajaran', 'yang', 'setimpall']","['kalau', 'sampai', 'anakku', 'diginiin', 'udah', 'tak', 'ajak', 'gelutt', 'itu', 'bocil', 'semuanya', 'ortunya', 'sekalian', 'enggak', 'bisa', 'didik', 'anaknya', 'sampai', 'enggak', 'punya', 'morall', 'ginii', 'sekolahnya', 'di', 'blacklist', 'bocilnya', 'masukin', 'penjara', 'biar', 'tau', 'rasa', 'dididik', 'tuhh', 'didalem', 'suruh', 'ngasi', 'pelajaran', 'yang', 'setimpall']","['anakku', 'diginiin', 'udah', 'ajak', 'gelutt', 'bocil', 'ortunya', 'didik', 'anaknya', 'morall', 'ginii', 'sekolahnya', 'blacklist', 'bocilnya', 'masukin', 'penjara', 'biar', 'tau', 'dididik', 'tuhh', 'didalem', 'suruh', 'ngasi', 'pelajaran', 'setimpall']","['anak', 'diginiin', 'udah', 'ajak', 'gelutt', 'bocil', 'ortunya', 'didik', 'anak', 'morall', 'ginii', 'sekolah', 'blacklist', 'bocilnya', 'masukin', 'penjara', 'biar', 'tau', 'didik', 'tuhh', 'dalem', 'suruh', 'ngasi', 'ajar', 'setimpall']",anak diginiin udah ajak gelutt bocil ortunya didik anak morall ginii sekolah blacklist bocilnya masukin penjara biar tau didik tuhh dalem suruh ngasi ajar setimpall
Ga seharusnya mereka bersikap kaya gitu ga sih?? kalo misal ada masalah harusnya di selesaikan baik' tanpa ada nya kekerasan??tapi ini? mereka sudah ke tindak perundungan dan sampe bawa teman yang lain biar ikut merundung korban seperti di video.,Ga seharusnya mereka bersikap kaya gitu ga sih kalo misal ada masalah harusnya di selesaikan baik tanpa ada nya kekerasan tapi ini mereka sudah ke tindak perundungan dan sampe bawa teman yang lain biar ikut merundung korban seperti di video,ga seharusnya mereka bersikap kaya gitu ga sih kalo misal ada masalah harusnya di selesaikan baik tanpa ada nya kekerasan tapi ini mereka sudah ke tindak perundungan dan sampe bawa teman yang lain biar ikut merundung korban seperti di video,"['ga', 'seharusnya', 'mereka', 'bersikap', 'kaya', 'gitu', 'ga', 'sih', 'kalo', 'misal', 'ada', 'masalah', 'harusnya', 'di', 'selesaikan', 'baik', 'tanpa', 'ada', 'nya', 'kekerasan', 'tapi', 'ini', 'mereka', 'sudah', 'ke', 'tindak', 'perundungan', 'dan', 'sampe', 'bawa', 'teman', 'yang', 'lain', 'biar', 'ikut', 'merundung', 'korban', 'seperti', 'di', 'video']","['enggak', 'seharusnya', 'mereka', 'bersikap', 'kaya', 'gitu', 'enggak', 'sih', 'kalau', 'misal', 'ada', 'masalah', 'harusnya', 'di', 'selesaikan', 'baik', 'tanpa', 'ada', 'nya', 'kekerasan', 'tapi', 'ini', 'mereka', 'sudah', 'ke', 'tindak', 'perundungan', 'dan', 'sampai', 'bawa', 'teman', 'yang', 'lain', 'biar', 'ikut', 'merundung', 'korban', 'seperti', 'di', 'video']","['bersikap', 'kaya', 'gitu', 'sih', 'selesaikan', 'nya', 'kekerasan', 'tindak', 'perundungan', 'bawa', 'teman', 'biar', 'merundung', 'korban', 'video']","['sikap', 'kaya', 'gitu', 'sih', 'selesai', 'nya', 'keras', 'tindak', 'rundung', 'bawa', 'teman', 'biar', 'rundung', 'korban', 'video']",sikap kaya gitu sih selesai nya keras tindak rundung bawa teman biar rundung korban video
Mao tau donk nama sekolahnya,Mao tau donk nama sekolahnya,mao tau donk nama sekolahnya,"['mao', 'tau', 'donk', 'nama', 'sekolahnya']","['mao', 'tau', 'dong', 'nama', 'sekolahnya']","['mao', 'tau', 'nama', 'sekolahnya']","['mao', 'tau', 'nama', 'sekolah']",mao tau nama sekolah
Nanti juga ketangkep nangis lu,Nanti juga ketangkep nangis lu,nanti juga ketangkep nangis lu,"['nanti', 'juga', 'ketangkep', 'nangis', 'lu']","['nanti', 'juga', 'ketangkep', 'nangis', 'kamu']","['ketangkep', 'nangis']","['ketangkep', 'nang']",ketangkep nang
Miris. Ya allah. Kesalahan pembulian  itu adalah manakala korban atau saksi tidak MELAPOR. Mari kita 'bersuara' jika mmg menjadi korban atau saksi pembulian. Jangan tinggal diam. Dampak negatif pembulian tidak sesederhana yang dikira. Dampak negatifnya luar biasa. Stop bullying.,Miris Ya allah Kesalahan pembulian itu adalah manakala korban atau saksi tidak MELAPOR Mari kita bersuara jika mmg menjadi korban atau saksi pembulian Jangan tinggal diam Dampak negatif pembulian tidak sesederhana yang dikira Dampak negatifnya luar biasa Stop bullying,miris ya allah kesalahan pembulian itu adalah manakala korban atau saksi tidak melapor mari kita bersuara jika mmg menjadi korban atau saksi pembulian jangan tinggal diam dampak negatif pembulian tidak sesederhana yang dikira dampak negatifnya luar biasa stop bullying,"['miris', 'ya', 'allah', 'kesalahan', 'pembulian', 'itu', 'adalah', 'manakala', 'korban', 'atau', 'saksi', 'tidak', 'melapor', 'mari', 'kita', 'bersuara', 'jika', 'mmg', 'menjadi', 'korban', 'atau', 'saksi', 'pembulian', 'jangan', 'tinggal', 'diam', 'dampak', 'negatif', 'pembulian', 'tidak', 'sesederhana', 'yang', 'dikira', 'dampak', 'negatifnya', 'luar', 'biasa', 'stop', 'bullying']","['miris', 'ya', 'allah', 'kesalahan', 'pembulian', 'itu', 'adalah', 'manakala', 'korban', 'atau', 'saksi', 'tidak', 'melapor', 'mari', 'kita', 'bersuara', 'jika', 'memang', 'menjadi', 'korban', 'atau', 'saksi', 'pembulian', 'jangan', 'tinggal', 'diam', 'dampak', 'negatif', 'pembulian', 'tidak', 'sesederhana', 'yang', 'dikira', 'dampak', 'negatifnya', 'luar', 'biasa', 'stop', 'bullying']","['miris', 'ya', 'allah', 'kesalahan', 'pembulian', 'korban', 'saksi', 'melapor', 'mari', 'bersuara', 'korban', 'saksi', 'pembulian', 'tinggal', 'diam', 'dampak', 'negatif', 'pembulian', 'sesederhana', 'dampak', 'negatifnya', 'stop', 'bullying']","['miris', 'ya', 'allah', 'salah', 'bulian', 'korban', 'saksi', 'lapor', 'mari', 'suara', 'korban', 'saksi', 'bulian', 'tinggal', 'diam', 'dampak', 'negatif', 'bulian', 'sederhana', 'dampak', 'negatif', 'stop', 'bullying']",miris ya allah salah bulian korban saksi lapor mari suara korban saksi bulian tinggal diam dampak negatif bulian sederhana dampak negatif stop bullying
Gk bisa dibiarkan utk. Lepas dr jeratan hukum.. Hrus  ditindak tegas... Kecil sdh  brandalan... Besar nya  bisa  membahayakan  nyawa  org  lain... Jgn dibenturkan  dgn  usia  masih  kanak2... Akan  bikin makin diatas  anginmere,Gk bisa dibiarkan utk Lepas dr jeratan hukum Hrus ditindak tegas Kecil sdh brandalan Besar nya bisa membahayakan nyawa org lain Jgn dibenturkan dgn usia masih kanak Akan bikin makin diatas anginmere,gk bisa dibiarkan utk lepas dr jeratan hukum hrus ditindak tegas kecil sdh brandalan besar nya bisa membahayakan nyawa org lain jgn dibenturkan dgn usia masih kanak akan bikin makin diatas anginmere,"['gk', 'bisa', 'dibiarkan', 'utk', 'lepas', 'dr', 'jeratan', 'hukum', 'hrus', 'ditindak', 'tegas', 'kecil', 'sdh', 'brandalan', 'besar', 'nya', 'bisa', 'membahayakan', 'nyawa', 'org', 'lain', 'jgn', 'dibenturkan', 'dgn', 'usia', 'masih', 'kanak', 'akan', 'bikin', 'makin', 'diatas', 'anginmere']","['enggak', 'bisa', 'dibiarkan', 'untuk', 'lepas', 'dari', 'jeratan', 'hukum', 'hrus', 'ditindak', 'tegas', 'kecil', 'sudah', 'brandalan', 'besar', 'nya', 'bisa', 'membahayakan', 'nyawa', 'orang', 'lain', 'jangan', 'dibenturkan', 'dengan', 'usia', 'masih', 'kanak', 'akan', 'bikin', 'makin', 'diatas', 'anginmere']","['dibiarkan', 'lepas', 'jeratan', 'hukum', 'hrus', 'ditindak', 'brandalan', 'nya', 'membahayakan', 'nyawa', 'orang', 'dibenturkan', 'usia', 'kanak', 'bikin', 'diatas', 'anginmere']","['biar', 'lepas', 'jerat', 'hukum', 'hrus', 'tindak', 'brandalan', 'nya', 'bahaya', 'nyawa', 'orang', 'bentur', 'usia', 'kanak', 'bikin', 'atas', 'anginmere']",biar lepas jerat hukum hrus tindak brandalan nya bahaya nyawa orang bentur usia kanak bikin atas anginmere
ada gak ya aturan tegas untuk anak2 yg sudah melawan hukum ...sering bgt liat vidio kejahatan seprti ini terhadap anak orang lain😢 miris,ada gak ya aturan tegas untuk anak yg sudah melawan hukum sering bgt liat vidio kejahatan seprti ini terhadap anak orang lain miris,ada gak ya aturan tegas untuk anak yg sudah melawan hukum sering bgt liat vidio kejahatan seprti ini terhadap anak orang lain miris,"['ada', 'gak', 'ya', 'aturan', 'tegas', 'untuk', 'anak', 'yg', 'sudah', 'melawan', 'hukum', 'sering', 'bgt', 'liat', 'vidio', 'kejahatan', 'seprti', 'ini', 'terhadap', 'anak', 'orang', 'lain', 'miris']","['ada', 'enggak', 'ya', 'aturan', 'tegas', 'untuk', 'anak', 'yang', 'sudah', 'melawan', 'hukum', 'sering', 'banget', 'liat', 'vidio', 'kejahatan', 'seprti', 'ini', 'terhadap', 'anak', 'orang', 'lain', 'miris']","['ya', 'aturan', 'anak', 'melawan', 'hukum', 'banget', 'liat', 'vidio', 'kejahatan', 'seprti', 'anak', 'orang', 'miris']","['ya', 'atur', 'anak', 'lawan', 'hukum', 'banget', 'liat', 'vidio', 'jahat', 'seprti', 'anak', 'orang', 'miris']",ya atur anak lawan hukum banget liat vidio jahat seprti anak orang miris
Capek dengar berita bullying ky gini terus....mau kapan ini berakhir??? Untungnya apa sih membully orang? Sok jagoan banget..,Capek dengar berita bullying ky gini terus mau kapan ini berakhir Untungnya apa sih membully orang Sok jagoan banget,capek dengar berita bullying ky gini terus mau kapan ini berakhir untungnya apa sih membully orang sok jagoan banget,"['capek', 'dengar', 'berita', 'bullying', 'ky', 'gini', 'terus', 'mau', 'kapan', 'ini', 'berakhir', 'untungnya', 'apa', 'sih', 'membully', 'orang', 'sok', 'jagoan', 'banget']","['capek', 'dengar', 'berita', 'bullying', 'kaya', 'gini', 'terus', 'mau', 'kapan', 'ini', 'berakhir', 'untungnya', 'apa', 'sih', 'membully', 'orang', 'sok', 'jagoan', 'banget']","['capek', 'dengar', 'berita', 'bullying', 'kaya', 'gini', 'untungnya', 'sih', 'membully', 'orang', 'sok', 'jagoan', 'banget']","['capek', 'dengar', 'berita', 'bullying', 'kaya', 'gin', 'untung', 'sih', 'membully', 'orang', 'sok', 'jago', 'banget']",capek dengar berita bullying kaya gin untung sih membully orang sok jago banget
"Jawa bart sedang tidak baik"" saja",Jawa bart sedang tidak baik saja,jawa bart sedang tidak baik saja,"['jawa', 'bart', 'sedang', 'tidak', 'baik', 'saja']","['jawa', 'barat', 'sedang', 'tidak', 'baik', 'saja']","['jawa', 'barat']","['jawa', 'barat']",jawa barat
Si paling jagoan. Udh miskin gk tau diri. Kasiankan org tuanya😊,Si paling jagoan Udh miskin gk tau diri Kasiankan org tuanya,si paling jagoan udh miskin gk tau diri kasiankan org tuanya,"['si', 'paling', 'jagoan', 'udh', 'miskin', 'gk', 'tau', 'diri', 'kasiankan', 'org', 'tuanya']","['si', 'paling', 'jagoan', 'udah', 'miskin', 'enggak', 'tau', 'diri', 'kasiankan', 'orang', 'tuanya']","['si', 'jagoan', 'udah', 'miskin', 'tau', 'kasiankan', 'orang', 'tuanya']","['si', 'jago', 'udah', 'miskin', 'tau', 'kasiankan', 'orang', 'tua']",si jago udah miskin tau kasiankan orang tua
"Wahai bapak/ibu netizen, Kalo udah ada info mereka ketangkap mohon ya kabarin, penasaran liat komuk si jagoan itu gimana pas ketangkep 🙏",Wahai bapak ibu netizen Kalo udah ada info mereka ketangkap mohon ya kabarin penasaran liat komuk si jagoan itu gimana pas ketangkep,wahai bapak ibu netizen kalo udah ada info mereka ketangkap mohon ya kabarin penasaran liat komuk si jagoan itu gimana pas ketangkep,"['wahai', 'bapak', 'ibu', 'netizen', 'kalo', 'udah', 'ada', 'info', 'mereka', 'ketangkap', 'mohon', 'ya', 'kabarin', 'penasaran', 'liat', 'komuk', 'si', 'jagoan', 'itu', 'gimana', 'pas', 'ketangkep']","['wahai', 'bapak', 'ibu', 'netizen', 'kalau', 'udah', 'ada', 'info', 'mereka', 'ketangkap', 'mohon', 'ya', 'kabarin', 'penasaran', 'liat', 'komuk', 'si', 'jagoan', 'itu', 'gimana', 'pas', 'ketangkep']","['netizen', 'udah', 'info', 'ketangkap', 'mohon', 'ya', 'kabarin', 'penasaran', 'liat', 'komuk', 'si', 'jagoan', 'gimana', 'pas', 'ketangkep']","['netizen', 'udah', 'info', 'tangkap', 'mohon', 'ya', 'kabarin', 'penasaran', 'liat', 'komuk', 'si', 'jago', 'gimana', 'pas', 'ketangkep']",netizen udah info tangkap mohon ya kabarin penasaran liat komuk si jago gimana pas ketangkep
Tolong dong yg bully bully gini dikasi hukuman yg berat. Biar tidak menular🔥🔥🔥🔥,Tolong dong yg bully bully gini dikasi hukuman yg berat Biar tidak menular,tolong dong yg bully bully gini dikasi hukuman yg berat biar tidak menular,"['tolong', 'dong', 'yg', 'bully', 'bully', 'gini', 'dikasi', 'hukuman', 'yg', 'berat', 'biar', 'tidak', 'menular']","['tolong', 'dong', 'yang', 'bully', 'bully', 'gini', 'dikasi', 'hukuman', 'yang', 'berat', 'biar', 'tidak', 'menular']","['tolong', 'bully', 'bully', 'gini', 'dikasi', 'hukuman', 'berat', 'biar', 'menular']","['tolong', 'bully', 'bully', 'gin', 'kasi', 'hukum', 'berat', 'biar', 'tular']",tolong bully bully gin kasi hukum berat biar tular
"Ni bocah2 skrg pd knp sih, ada aja beritanya, udah lah kasi micin lg aja, dulu generasi micin ga gini2 amat deh",Ni bocah skrg pd knp sih ada aja beritanya udah lah kasi micin lg aja dulu generasi micin ga gini amat deh,ni bocah skrg pd knp sih ada aja beritanya udah lah kasi micin lg aja dulu generasi micin ga gini amat deh,"['ni', 'bocah', 'skrg', 'pd', 'knp', 'sih', 'ada', 'aja', 'beritanya', 'udah', 'lah', 'kasi', 'micin', 'lg', 'aja', 'dulu', 'generasi', 'micin', 'ga', 'gini', 'amat', 'deh']","['ni', 'bocah', 'sekarang', 'percaya diri', 'kenapa', 'sih', 'ada', 'aja', 'beritanya', 'udah', 'lah', 'kasih', 'micin', 'lagi', 'aja', 'dulu', 'generasi', 'micin', 'enggak', 'gini', 'amat', 'deh']","['ni', 'bocah', 'percaya diri', 'sih', 'aja', 'beritanya', 'udah', 'kasih', 'micin', 'aja', 'generasi', 'micin', 'gini', 'deh']","['ni', 'bocah', 'percaya diri', 'sih', 'aja', 'berita', 'udah', 'kasih', 'micin', 'aja', 'generasi', 'micin', 'gin', 'deh']",ni bocah percaya diri sih aja berita udah kasih micin aja generasi micin gin deh
